name;char;svg
red pepper;亲;svgsJa/20146.svg
resin;;svgsJaZoo/990505.svg
rice seedling;圥;svgsJa/22309.svg
rising cloud;云;svgsJa/20113.svg
road;⻌;svgsJa/11980.svg
row bottom;业;svgsJa/19994.svg
saber;刂;svgsJa/20994.svg
salad;龷;svgsJa/40887.svg
saw;乍;svgsJa/20045.svg
scarecrow;𦰩;svgsJa/158761.svg
scarf;𧘇;svgsJa/161287.svg
schoolhouse;𰃮;svgsJa/196846.svg
scissors;夹;svgsJa/22841.svg
scorpion;也;svgsJa/20063.svg
scrapbook;𠕁;svgsJa/132417.svg
shape;彡;svgsJa/24417.svg
sheaf;㐅;svgsJa/13317.svg
sheep above;𦍌;svgsJa/156492.svg
shelf;且;svgsJa/19988.svg
shovel;凵;svgsJa/20981.svg
shredder;;svgsZhHans/25949.svg
sickness;疒;svgsJa/30098.svg
siesta;;svgsJaZoo/990802.svg
sieve;隶;svgsJa/38582.svg
silage;;svgsJaZoo/990604.svg
silver left;;svgsJaZoo/990506.svg
silver;艮;svgsJa/33390.svg
skunk;豸;svgsJa/35960.svg
slingshot;;svgsJaZoo/990204.svg
snare;丂;svgsJa/19970.svg
sow;豕;svgsJa/35925.svg
sparkler;;svgsJaZoo/990405.svg
spear;;svgsJaZoo/990205.svg
spool;圣;svgsJa/22307.svg
spring;;svgsJaZoo/990803.svg
stamp;卩;svgsJa/21353.svg
staple gun;;svgsJaZoo/990507.svg
staples;𠀉;svgsJa/131081.svg
state of mind;忄;svgsJa/24516.svg
straw man;尭;svgsJa/23597.svg
stretch;廴;svgsJa/24308.svg
sunglasses half monocle;;svgsJaKana/12528.svg
sunglasses;舛;svgsJa/33307.svg
tail feathers;;svgsJaZoo/990508.svg
talking cricket;禺;svgsJa/31162.svg
tall;;svgsJaZoo/990509.svg
taskmaster;攵;svgsJa/25909.svg
teepee;癶;svgsJa/30326.svg
thanksgiving;𢦏;svgsJa/141711.svg
tiger;;svgsJaZoo/990605.svg
tool;;svgsJaZoo/990303.svg
top hat and scarf;;svgsJaZoo/990606.svg
top hat;亠;svgsJa/20128.svg
turkey coop;隺;svgsJa/38586.svg
turkey;隹;svgsJa/38585.svg
turtle;丬;svgsJa/20012.svg
two hands bottom;廾;svgsJa/24318.svg
two hands;开;svgsJa/24320.svg
umbrella;𠆢;svgsJa/131490.svg
unhooked scarf;;svgsJaZoo/990406.svg
valentine;⺗;svgsJa/11927.svg
vulture;⺤;svgsJa/11940.svg
waitress;旡;svgsJa/26081.svg
walking legs;夂;svgsJa/22786.svg
walking stick;丨;svgsJa/20008.svg
wall;𠫔;svgsJa/133844.svg
water;氵;svgsJa/27701.svg
wealth;畐;svgsJa/30032.svg
west;覀;svgsJa/35200.svg
wheat;禾;svgsJa/31166.svg
whirlwind;亢;svgsJa/20130.svg
wind;几;svgsJa/20960.svg
wings;;svgsJaZoo/990607.svg
witch;夭;svgsJa/22829.svg
wool;⺶;svgsJa/11958.svg
zoo left;𤴔;svgsJa/150804.svg
zoo;疋;svgsJa/30091.svg
